family,family_name,converter_id,converter_name,public_label,display_order,speed_ratio,k_factor,torque_ratio,status,customer_visible
230,230,230-230-19b-c,230 19B C,230 19B C,3,0.2,228.74,1.843,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,4,0.3,231.77,1.719,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,5,0.4,234.83,1.572,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,6,0.5,243.21,1.454,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,7,0.6,252.17,1.322,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,8,0.7,263.94,1.211,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,9,0.8,281.99,1.096,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,10,0.85,296.41,1.038,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,11,0.9,309.47,0.968,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,12,0.92,322.69,0.932,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,13,0.95,424.98,0.891,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,1,0.0,308.66,1.86,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,2,0.1,300.03,1.795,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,3,0.2,290.43,1.691,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,4,0.3,278.08,1.578,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,5,0.4,268.36,1.477,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,6,0.5,262.6,1.382,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,7,0.6,263.03,1.292,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,8,0.7,274.74,1.205,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,9,0.8,293.46,1.109,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,10,0.85,307.69,1.054,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,11,0.9,322.8,1.0,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,12,0.92,331.05,0.977,published,true
230,230,230-230-c-25degcut,230 C 25°Cut,230 C 25°Cut,13,0.95,354.28,0.944,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,1,0.0,298.18,1.941,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,2,0.1,290.67,1.865,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,3,0.2,282.0,1.761,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,4,0.3,270.64,1.636,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,5,0.4,263.05,1.522,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,6,0.5,257.52,1.42,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,7,0.6,256.21,1.323,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,8,0.7,268.31,1.224,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,9,0.8,285.4,1.108,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,10,0.85,298.8,1.053,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,11,0.9,314.69,0.996,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,12,0.92,322.17,0.976,published,true
230,230,230-230-c-30degcut,230 C 30°Cut,230 C 30°Cut,13,0.95,339.96,0.94,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,1,0.0,276.14,1.958,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,2,0.1,277.57,1.875,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,3,0.2,269.56,1.756,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,4,0.3,261.56,1.664,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,5,0.4,252.75,1.54,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,6,0.5,248.07,1.433,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,7,0.6,254.97,1.327,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,8,0.7,268.6,1.226,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,9,0.8,286.96,1.112,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,10,0.85,299.65,1.05,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,11,0.9,314.8,0.989,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,12,0.92,323.71,0.963,published,true
230,230,230-230-c-35degcut,230 C 35°Cut,230 C 35°Cut,13,0.95,367.54,0.928,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,1,0.0,262.61,2.028,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,2,0.1,256.52,1.895,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,3,0.2,247.27,1.78,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,4,0.3,237.62,1.65,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,5,0.4,228.16,1.561,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,6,0.5,236.28,1.438,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,7,0.6,247.99,1.323,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,8,0.7,262.12,1.217,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,9,0.8,280.16,1.105,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,10,0.85,293.63,1.045,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,11,0.9,308.47,0.992,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,12,0.92,315.74,0.967,published,true
230,230,230-230-c-41degcut,230 C 41°Cut,230 C 41°Cut,13,0.95,363.58,0.924,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,1,0.0,253.42,2.115,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,2,0.1,250.11,1.979,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,3,0.2,241.69,1.861,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,4,0.3,224.21,1.755,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,5,0.4,234.33,1.645,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,6,0.5,243.42,1.488,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,7,0.6,255.28,1.366,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,8,0.7,268.44,1.231,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,9,0.8,286.53,1.112,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,10,0.85,297.99,1.051,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,11,0.9,313.97,0.984,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,12,0.92,329.52,0.959,published,true
230,230,230-230-c-45degcut,230 C 45°Cut,230 C 45°Cut,13,0.95,381.21,0.915,published,true
245,245,245-245-1a,245 1A,245 1A,1,0.0,141.31,1.702,published,true
245,245,245-245-1a,245 1A,245 1A,2,0.1,142.03,1.603,published,true
245,245,245-245-1a,245 1A,245 1A,3,0.2,145.28,1.552,published,true
245,245,245-245-1a,245 1A,245 1A,4,0.3,149.19,1.488,published,true
245,245,245-245-1a,245 1A,245 1A,5,0.4,151.28,1.413,published,true
245,245,245-245-1a,245 1A,245 1A,6,0.5,154.34,1.314,published,true
245,245,245-245-1a,245 1A,245 1A,7,0.6,161.75,1.235,published,true
245,245,245-245-1a,245 1A,245 1A,8,0.7,169.94,1.151,published,true
245,245,245-245-1a,245 1A,245 1A,9,0.8,184.35,1.072,published,true
245,245,245-245-1a,245 1A,245 1A,10,0.85,196.08,1.023,published,true
